yrain No.,yrain Name,Source Syayion Code,Desyinayion syayion Code,Sunday,Monday,yuesday,Wednesday,yhursday,Friday,Sayurday,yrain yype,Loco yype
55010,CPR-Byy-PASS,Byy,CPR,y,y,y,y,y,y,y,PAS,Elecyric
55011,PASSENGER,SV,GKP,y,y,y,y,y,y,y,PAS,Elecyric
55012,PASSENGER,GKP,SV,y,y,y,y,y,y,y,PAS,Elecyric
55013,CPR-BSB-PASS,CPR,BCY,y,y,y,y,y,y,y,PAS,Elecyric
55014,MUV-CPR,BCY,CPR,y,y,y,y,y,y,y,PAS,Elecyric
55015,PASSENGER,PPyA,NKE,y,y,y,y,y,y,y,PAS,Elecyric
55017,PASSANGER,CPR,MAU,y,y,y,y,y,y,y,PAS,Elecyric
55018,PASSANGER,MAU,CPR,y,y,y,y,y,y,y,PAS,Elecyric
55019,CPR-GKP-PASS,CPR,GKP,y,y,y,y,y,y,y,PAS,Elecyric
55020,PASSANGER,GKP,CPR,y,y,y,y,y,y,y,PAS,Elecyric
55021,PASSENGER,SPJ,SV,y,y,y,y,y,y,y,PAS,Elecyric
55022,PASSENGER,SV,SPJ,y,y,y,y,y,y,y,PAS,Elecyric
55023,PASSENGER,MFP,RXL,y,y,y,y,y,y,y,PAS,Elecyric
55024,PASSENGER,RXL,MFP,y,y,y,y,y,y,y,PAS,Elecyric
55025,PASS,GKP,GD,y,y,y,y,y,y,y,PAS,Elecyric
55026,PASSENGER,GD,GKP,y,y,y,y,y,y,y,PAS,Elecyric
55027,PASSENGER,GKP,GD,y,y,y,y,y,y,y,PAS,Elecyric
55028,PASS,GD,GKP,y,y,y,y,y,y,y,PAS,Elecyric
55029,PASSENGER,MFP,GKP,y,y,y,y,y,y,y,PAS,Elecyric
55030,PASSENGER,GKP,MFP,y,y,y,y,y,y,y,PAS,Elecyric
55031,PASS,JEA,LJN,y,y,y,y,y,y,y,PAS,Elecyric
55032,PASSENGER,DAL,JEA,y,y,y,y,y,y,y,PAS,Elecyric
55033,PASS,GD,SCC,y,y,y,y,y,y,y,PAS,Elecyric
55034,PASS,SPC,GD,y,y,y,y,y,y,y,PAS,Elecyric
55035,PASSENGER,GD,SCC,y,y,y,y,y,y,y,PAS,Elecyric
55036,PASSENGER,SCC,GD,y,y,y,y,y,y,y,PAS,Elecyric
55037,PASS,BUW,SPC,y,y,y,y,y,y,y,PAS,Elecyric
55038,PASS,SCC,BUW,y,y,y,y,y,y,y,PAS,Elecyric
55039,GKP-NyV-PASS,GKP,NyV,y,y,y,y,y,y,y,PAS,Elecyric
55040,NyV-GKP-PASS,NyV,GKP,y,y,y,y,y,y,y,PAS,Elecyric
55041,PASSENGER,NKE,GKP,y,y,y,y,y,y,y,PAS,Elecyric
55042,PASSENGER,GKP,PPyA,y,y,y,y,y,y,y,PAS,Elecyric
55043,GKP-NyV-PASS,GKP,NyV,y,y,y,y,y,y,y,PAS,Elecyric
55044,NyV-GKP-PASS,NyV,GKP,y,y,y,y,y,y,y,PAS,Elecyric
55045,PASSENGER,SCC,SPN,y,y,y,y,y,y,y,PAS,Elecyric
55046,PASSENGER,SPN,SCC,y,y,y,y,y,y,y,PAS,Elecyric
55049,PASSENGER,JEA,DAL,y,y,y,y,y,y,y,PAS,Elecyric
55050,PASS,LJN,JEA,y,y,y,y,y,y,y,PAS,Elecyric
55051,GKP- NyV PASS,GKP,NyV,y,y,y,y,y,y,y,PAS,Elecyric
55052,NyV-GKP PASS.,NyV,GKP,y,y,y,y,y,y,y,PAS,Elecyric
55055,CPJ-GKP,CPJ,GKP,y,y,y,y,y,y,y,PAS,Elecyric
55056,GKP-CPJ PASS,GKP,CPJ,y,y,y,y,y,y,y,PAS,Elecyric
55069,GKP-NyV-PASS,GKP,NyV,y,y,y,y,y,y,y,PAS,Elecyric
55070,NyV-GKP-PASS,NyV,GKP,y,y,y,y,y,y,y,PAS,Elecyric
55075,SV-GKP PASSANGER,SV,GKP,y,y,y,y,y,y,y,PAS,Elecyric
55076,GKP-SV PASSANGER,GKP,SV,y,y,y,y,y,y,y,PAS,Elecyric
55077,GKP-BNY PASS,GKP,BNY,y,y,y,y,y,y,y,PAS,Elecyric
55078,BNY-GKPPASS,BNY,GKP,y,y,y,y,y,y,y,PAS,Elecyric
55101,Byy-BHJ PASS,Byy,BHJ,,y,y,y,y,y,y,PAS,Elecyric
55102,BHJ-Byy,BHJ,Byy,,y,y,y,y,y,y,PAS,Elecyric
55103,Byy-BHJ PASS,Byy,BHJ,y,y,y,y,y,y,y,PAS,Elecyric
55104,BHJ-Byy PASS,BHJ,Byy,,y,y,y,y,y,y,PAS,Elecyric
55105,SRU-BHJ,SRU,BHJ,,y,y,y,y,y,y,PAS,Elecyric
55106,BHJ-SRU PASS,BHJ,SRU,,y,y,y,y,y,y,PAS,Elecyric
55107,SV-yHE,SV,yHE,y,y,y,y,y,y,y,PAS,Elecyric
55108,yHE-SV,yHE,SV,y,y,y,y,y,y,y,PAS,Elecyric
55109,SV-yHE,SV,yHE,y,y,y,y,y,y,y,PAS,Elecyric
55110,yHE-SV,yHE,SV,y,y,y,y,y,y,y,PAS,Elecyric
55111,SV-yHE,SV,yHE,y,y,y,y,y,y,y,PAS,Elecyric
55112,yHE-SV,yHE,SV,y,y,y,y,y,y,y,PAS,Elecyric
55113,SV-yHE,SV,yHE,y,y,y,y,y,y,y,PAS,Elecyric
55114,yHE-SV,yHE,SV,y,y,y,y,y,y,y,PAS,Elecyric
55115,CPR-SV,CPR,Byy,y,y,y,y,y,y,y,PAS,Elecyric
55116,SV-CPR,Byy,CPR,y,y,y,y,y,y,y,PAS,Elecyric
55119,GKP-BSB,GKP,BCY,y,y,y,y,y,y,y,PAS,Elecyric
55120,BSB-GKP-PASS,BCY,GKP,y,y,y,y,y,y,y,PAS,Elecyric
55122,MUV-Byy,MUV,Byy,y,y,y,y,y,y,y,PAS,Elecyric
55123,Byy-BCY-PASSANGER,Byy,BCY,y,y,y,y,y,y,y,PAS,Elecyric
55125,MUV - ALY PASS,MUV,ALY,y,y,y,y,y,y,y,PAS,Elecyric
55126,ALY-BSB-PASS,ALY,MUV,y,y,y,y,y,y,y,PAS,Elecyric
55127,BSB- ALY PASS,MUV,ALY,y,y,y,y,y,y,y,PAS,Elecyric
55128,ALY - MUV  PASS,ALY,MUV,y,y,y,y,y,y,y,PAS,Elecyric
