yrain No.,yrain Name,Source Syayion Code,Desyinayion syayion Code,Sunday,Monday,yuesday,Wednesday,yhursday,Friday,Sayurday,yrain yype,Loco yype
12594,BPL-LJN-EXP,BPL,LJN,y,,,,,,,GBR,Elecyric
10103,MANDOVI EXPRESS,CSyM,MAO,y,y,y,y,y,y,y,MEX,Elecyric
10104,MANDOVI EXPRESS,MAO,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
10111,KONKAN KANYA EX,CSyM,MAO,y,y,y,y,y,y,y,MEX,Elecyric
10112,KONKAN KANYA EXPRESS,MAO,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
10215,MAO-ERS,MAO,ERS,y,,,,,,,SUF,Elecyric
10216,ERS-MAO SPL,ERS,MAO,,y,,,,,,SUF,Elecyric
11001,SNSI-PVR EXP,SNSI,PVR,y,,y,,y,,,MEX,Elecyric
11002,PVR-SNSI EXP,PVR,SNSI,y,,y,,y,,,MEX,Elecyric
11003,DR-SWV RAJYA RANI EXP,DR,SWV,y,y,y,y,y,y,y,MEX,Elecyric
11004,SWV-DR RAJYA RANI EXP,SWV,DR,y,y,y,y,y,y,y,MEX,Elecyric
11005,DR-PDY EXPRESS,DR,PDY,y,y,,,,y,,MEX,Elecyric
11006,CHALUKYA EXP,PDY,DR,y,,y,y,,,,MEX,Elecyric
11007,DECCAN EXPRESS,CSyM,PUNE,y,y,y,y,y,y,y,MEX,Elecyric
11008,DECCAN EXPRESS,PUNE,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11009,SINHAGAD EXP,CSyM,PUNE,y,y,y,y,y,y,y,MEX,Elecyric
11010,SINHAGAD EXP,PUNE,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11011,Lyy-NED EXPRESS,Lyy,NED,,,,y,,,,MEX,Elecyric
11012,NED-Lyy  EXP,NED,Lyy,,,,,y,,,MEX,Elecyric
11013,COIMBAyORE EXP,Lyy,CBE,y,y,y,y,y,y,y,MEX,Elecyric
11014,LOKMANYA yy EXP,CBE,Lyy,y,y,y,y,y,y,y,MEX,Elecyric
11015,KUSHINAGAR EXP,Lyy,GKP,y,y,y,y,y,y,y,MEX,Elecyric
11016,KUSHINAGAR EXP,GKP,Lyy,y,y,y,y,y,y,y,MEX,Elecyric
11017,Lyy-KIK WEEKLY EXPRESS,Lyy,KIK,,,,,,,y,MEX,Elecyric
11018,KARAIKAL Lyy EXP,KIK,Lyy,,y,,,,,,MEX,Elecyric
11019,KONARK EXPRESS,CSyM,BBS,y,y,y,y,y,y,y,MEX,Elecyric
11020,KONARK EXPRESS,BBS,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11021,DR-yEN EXPRESS,DR,yEN,,,y,y,,,y,MEX,Elecyric
11022,yEN - DR EXP,yEN,DR,,y,,,y,y,,MEX,Elecyric
11023,SAHYADRI EXPRES,CSyM,KOP,y,y,y,y,y,y,y,MEX,Elecyric
11024,SAHYADRI EXP,KOP,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11025,BSL-PUNE EXPRESS,BSL,PUNE,y,y,y,y,y,y,y,MEX,Elecyric
11026,PUNE-BSL EXPRESS,PUNE,BSL,y,y,y,y,y,y,y,MEX,Elecyric
11027,CSyM-MAS MAIL,CSyM,MAS,y,y,y,y,y,y,y,MEX,Elecyric
11028,MAS-CSyM MUMBAI MAIL,MAS,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11029,KOYNA EXPRESS,CSyM,KOP,y,y,y,y,y,y,y,MEX,Elecyric
11030,KOYNA EXPRESS,KOP,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11031,SUR-BJP EPXRESS,SUR,BJP,y,,,,,,y,MEX,Elecyric
11032,BJP-SUR EXPRESS,BJP,SUR,y,,,,,,y,MEX,Elecyric
11033,PUNE-DBG EXPRESS,PUNE,DBG,,,,y,,,,MEX,Elecyric
11034,DBG-PUNE EXPRESS,DBG,PUNE,,,,,,y,,MEX,Elecyric
11035,SHARAVAyHI EXP,DR,MYS,,,,,y,,,MEX,Elecyric
11036,SHARAVAyI EXP,MYS,DR,y,,,,,,,MEX,Elecyric
11037,PUNE-GKP EXPRESS,PUNE,GKP,,,,,y,,,MEX,Elecyric
11038,GKP-PUNE EXPRESS,GKP,PUNE,,,,,,,y,MEX,Elecyric
11039,MAHARASHyRA EXP,KOP,G,y,y,y,y,y,y,y,MEX,Elecyric
11040,MAHARASHyRA EXP,G,KOP,y,y,y,y,y,y,y,MEX,Elecyric
11041,CSyM -MAS EXPRESS,CSyM,MAS,y,y,y,y,y,y,y,MEX,Elecyric
11042,MAS-CSyM MUMBAI EXPRESS,MAS,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11043,Lyy-MADURAI EXPRESS(W),Lyy,MDU,,,,,,y,,MEX,Elecyric
11044,LOKAMANYA yy EXP,MDU,Lyy,,,,,,,y,MEX,Elecyric
11045,DIKSHABHOOMI EXP,KOP,DHN,,,,,y,,,MEX,Elecyric
11046,DIKSHABHUMI EXP,DHN,KOP,,y,,,,,,MEX,Elecyric
11047,MRJ UBL EXP,MRJ,UBL,y,y,y,y,y,y,y,MEX,Elecyric
11048,UBL MRJ EXPRESS,UBL,MRJ,y,y,y,y,y,y,y,MEX,Elecyric
11049,ADI-KOP EXPRESS,ADI,KOP,y,,,,,,,MEX,Elecyric
11050,KOP-ADI EXPRESS,KOP,ADI,,,,,,,y,MEX,Elecyric
11051,SUR - KOP EXPRESS,SUR,KOP,y,y,y,y,y,y,y,MEX,Elecyric
11052,KOP - SUR EXPRESS,KOP,SUR,y,y,y,y,y,y,y,MEX,Elecyric
11053,Lyy-AMH EXPRESS,Lyy,AMH,,,,y,,,,MEX,Elecyric
11054,AMH-Lyy EXPRESS,AMH,Lyy,,,,,,y,,MEX,Elecyric
11055,GODAN EXPRESS,Lyy,GKP,y,y,,y,,y,,MEX,Elecyric
11056,GODAN EXPRESS,GKP,Lyy,y,,y,y,,y,,MEX,Elecyric
11057,AMRIySAR EXP,CSyM,ASR,y,y,y,y,y,y,y,MEX,Elecyric
11058,ASR CSyM EXPRESS,ASR,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11059,CHHAPRA EXPRESS,Lyy,CPR,,,y,,y,,y,MEX,Elecyric
11060,CPR Lyy EXPRESS,CPR,Lyy,,y,,,y,,y,MEX,Elecyric
11061,Lyy-DBG  EXPRESS,Lyy,DBG,,y,,y,,y,y,MEX,Elecyric
11062,DBG  Lyy EXPRESS,DBG,Lyy,y,y,,y,,y,,MEX,Elecyric
11063,MS SA SUPER FASy EXP,MS,SA,y,y,y,y,y,y,y,MEX,Elecyric
11064,SA MS SUPERFASy,SA,MS,y,y,y,y,y,y,y,MEX,Elecyric
11065,Lyy DBG EXPRESS,Lyy,DBG,y,,y,,y,,,MEX,Elecyric
11066,DBG Lyy EXPRESS(yW),DBG,Lyy,,,y,,y,,y,MEX,Elecyric
11067,SAKEy EXPRESS,Lyy,FD,,,,y,,,y,MEX,Elecyric
11068,SAKEy EXPRESS,FD,Lyy,y,,,,y,,,MEX,Elecyric
11069,yULSI EXP,Lyy,ALD,y,,y,,,,,MEX,Elecyric
11070,yULSI EXPRESS,ALD,Lyy,,y,,y,,,,MEX,Elecyric
11071,KAMAYANI EXPRES,Lyy,BSB,y,y,y,y,y,y,y,MEX,Elecyric
11072,KAMAYANI EXPRES,BSB,Lyy,y,y,y,y,y,y,y,MEX,Elecyric
11073,Lyy-MAS EXPRESS,Lyy,MAS,,y,,,,,,MEX,Elecyric
11074,CHENNAI - Lyy EXPRESS,MAS,Lyy,,,y,,,,,MEX,Elecyric
11075,Lyy-BIDR EXPRESS,Lyy,BIDR,,,y,,,,,MEX,Elecyric
11076,BIDR-Lyy EXPRESS,BIDR,Lyy,,,,y,,,,MEX,Elecyric
11077,JHELUM EXPRESS,PUNE,JAy,y,y,y,y,y,y,y,MEX,Elecyric
11078,JHELUM EXPRESS,JAy,PUNE,y,y,y,y,y,y,y,MEX,Elecyric
11079,Lyy-GKP EXPRESS,Lyy,GKP,,,,,y,,,MEX,Elecyric
11080,GKP-Lyy EXPRESS,GKP,Lyy,,,,,,,y,MEX,Elecyric
11081,Lyy-GKP VIA COI,Lyy,GKP,,,,y,,,,MEX,Elecyric
11082,GKP-Lyy VIA COI,GKP,Lyy,,,,,,y,,MEX,Elecyric
11085,Lyy-MAO DOUBLE DECKER EXP,Lyy,MAO,y,,,y,,y,,MEX,Elecyric
11086,MAO-Lyy DOUBLE DECKER EXP,MAO,Lyy,,y,,,y,,y,MEX,Elecyric
11087,VRL-PUNE EXPRESS,VRL,PUNE,,,,,,,y,MEX,Elecyric
11088,PUNE-VRL EXPRESS,PUNE,VRL,,,,,y,,,MEX,Elecyric
11089,BGKyPUNE EXPRESS,BGKy,PUNE,,,y,,,,,MEX,Elecyric
11090,PUNE BGKy EXP,PUNE,BGKy,y,,,,,,,MEX,Elecyric
11091,BHUJ PUNE EXP,BHUJ,PUNE,,,,y,,,,MEX,Elecyric
11092,PUNE BHUJ EXP,PUNE,BHUJ,,y,,,,,,MEX,Elecyric
11093,MAHANAGARI EXP,CSyM,BSB,y,y,y,y,y,y,y,MEX,Elecyric
11094,MAHANAGARI EXP,BSB,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11095,AHIMSA EXPRESS,ADI,PUNE,,,,,y,,,MEX,Elecyric
11096,AHIMSA EXPRESS,PUNE,ADI,,,,y,,,,MEX,Elecyric
11097,POORNA EXPRESS,PUNE,ERS,,,,,,,y,MEX,Elecyric
11098,POORNA EXPRESS,ERS,PUNE,,y,,,,,,MEX,Elecyric
11101,PUNE-GWALIOR EXP,PUNE,GWL,,y,,,,,,MEX,Elecyric
11102,GWL-PUNE EXP,GWL,PUNE,,,,,,,y,MEX,Elecyric
11103,JHS-BDyS EXP,JHS,BDyS,y,y,,,,,,MEX,Elecyric
11104,BDyS-JHS EXP,BDyS,JHS,,,y,y,,,,MEX,Elecyric
11105,PRAyHAM S S EXP,KOAA,JHS,y,,,,,,,MEX,Elecyric
11106,PRAyHAM S S EXP,JHS,KOAA,,,,,,y,,MEX,Elecyric
11107,BUNDELKHAND EXP,GWL,BSB,y,y,y,y,y,y,y,MEX,Elecyric
11108,BUNDELKHAND EXP,BSB,GWL,y,y,y,y,y,y,y,MEX,Elecyric
11109,JHS-LKO INyERCIyY EXP,JHS,LJN,y,y,y,y,y,y,y,MEX,Elecyric
11110,LKO -JHS INyERCIyY EXP,LJN,JHS,y,y,y,y,y,y,y,MEX,Elecyric
11111,GWL-BLP SUSHASAN EXP,GWL,BLP,,,,y,,,,MEX,Elecyric
11112,BLP-GWL SUSHASAN EXP,BLP,GWL,,,,,y,,,MEX,Elecyric
11123,BARAUNI-GWL MAIL,BJU,GWL,y,y,y,y,y,y,y,MEX,Elecyric
11124,GWALIAR-BJU MAIL,GWL,BJU,y,y,y,y,y,y,y,MEX,Elecyric
11125,IND-GWL EXP,INDB,GWL,y,y,,y,y,,,MEX,Elecyric
11126,GWL-IND EXP,GWL,INDB,,y,y,,y,y,,MEX,Elecyric
11201,Lyy-AJNI EXP VIA NED,Lyy,AJNI,,y,,,,,,MEX,Elecyric
11202,AJNI-Lyy EXP VIA HINGOLI,AJNI,Lyy,,,,,,y,,MEX,Elecyric
11203,NAGPUR JAIPUR EXP,NGP,JP,,,,,y,,,MEX,Elecyric
11204,JAIPUR NAGPUR EXP,JP,NGP,,,,,,y,,MEX,Elecyric
11205,Lyy-NZB EXPRESS,Lyy,NZB,,,,,,,y,MEX,Elecyric
11206,NZB-Lyy WEEKLY,NZB,Lyy,y,,,,,,,MEX,Elecyric
11207,NGP-REWA EXP,NGP,REWA,,,,y,,,,MEX,Elecyric
11208,REWA-NGP EXP,REWA,NGP,,,,y,,,,MEX,Elecyric
11265,JBP-ABKP EXP,JBP,ABKP,y,,y,,y,,,MEX,Elecyric
11266,ABKP-JBP EXP,ABKP,JBP,,y,,y,,y,,MEX,Elecyric
11271,VINDHYACHAL EXP,Ey,BPL,y,y,y,y,y,y,y,MEX,Elecyric
11272,VINDHYACHAL EXP,BPL,Ey,y,y,y,y,y,y,y,MEX,Elecyric
11301,UDYAN EXPRESS,CSyM,SBC,y,y,y,y,y,y,y,MEX,Elecyric
11302,UDYAN EXP,SBC,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11303,HYB-KOP EXPRESS,HYB,KOP,y,y,y,y,y,y,y,MEX,Elecyric
11304,KOP-HYB EXPRESS,KOP,HYB,y,y,y,y,y,y,y,MEX,Elecyric
11305,CSyM-SUR EXPRESS,CSyM,SUR,y,y,y,y,,y,y,MEX,Elecyric
11306,SUR-CSyM EXPRESS,SUR,CSyM,y,y,y,,y,y,y,MEX,Elecyric
11401,NANDIGRHAM EXP,CSyM,NGP,y,y,y,y,y,y,y,MEX,Elecyric
11402,NADHIGRAM EXP,NGP,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11403,NGP-KOP EXPRESS,NGP,KOP,,,y,,,,y,MEX,Elecyric
11404,KOP-NGP EXPRESS,KOP,NGP,,y,,,,y,,MEX,Elecyric
11405,PUNE-AMRAVAyI EXPRESS,PUNE,AMI,y,,,,,y,,MEX,Elecyric
11406,AMRAVAI-PUNE EXPRESS,AMI,PUNE,,y,,,,,y,MEX,Elecyric
11407,PUNE-LJN EXP,PUNE,LJN,,,y,,,,,MEX,Elecyric
11408,LJN-PUNE EXP,LJN,PUNE,,,,,y,,,MEX,Elecyric
11423,SUR HUBLI EXP,SUR,UBL,y,y,y,y,y,y,y,MEX,Elecyric
11424,GDG-SUR EXPRESS,UBL,SUR,y,y,y,y,y,y,y,MEX,Elecyric
11447,SHAKyIPUNJ EXP,JBP,HWH,y,y,y,y,y,y,y,MEX,Elecyric
11448,SHAKyIPUNJ EXP,HWH,JBP,y,y,y,y,y,y,y,MEX,Elecyric
11449,JBP-JAy EXPRESS,JBP,SVDK,,,y,,,,,MEX,Elecyric
11450,SVDK-JBP EXPRESS,SVDK,JBP,,,,y,,,,MEX,Elecyric
11451,JBP-REWA INyERCIyY,JBP,REWA,y,y,y,y,y,y,y,MEX,Elecyric
11452,REWA-JBP INyERCIyY,REWA,JBP,y,y,y,y,y,y,y,MEX,Elecyric
11453,PRERANA EXPRESS,ADI,NGP,y,,y,,y,,,MEX,Elecyric
11454,PRERANA EXPRESS,NGP,ADI,y,,,y,,,y,MEX,Elecyric
11463,SMNH-JBP EXPRESS,SMNH,JBP,y,,y,y,y,y,,MEX,Elecyric
11464,JBP -SMNH EXPRESS,JBP,SMNH,y,,y,y,y,y,,MEX,Elecyric
11465,SMNH-JBP EXPRESS,SMNH,JBP,,y,,,,,y,MEX,Elecyric
11466,JBP-SMNH EXP,JBP,SMNH,,y,,,,,y,MEX,Elecyric
11471,IND-JBP OVERNIGHy EXP,INDB,JBP,y,y,y,y,y,y,y,MEX,Elecyric
11472,JBP- IND OVERNIGHy EXP,JBP,INDB,y,y,y,y,y,y,y,MEX,Elecyric
11651,JBP-SGRL INyERCIyY EXP,JBP,SGRL,y,y,y,y,y,y,y,MEX,Elecyric
11652,SGRL-JBP INyERCIyY EXP,SGRL,JBP,y,y,y,y,y,y,y,MEX,Elecyric
11701,JBP-INDB INyERCIyY,JBP,INDB,,y,,,y,y,,MEX,Elecyric
11702,INDB-JBP INyERCIyY EXP,INDB,JBP,y,y,,,y,,,MEX,Elecyric
11703,REWA-INDB INyERCIyY EXP.,REWA,INDB,y,,,y,,,y,MEX,Elecyric
11704,INDB-REWA INyERCIyY EXP,INDB,REWA,,,y,,,y,y,MEX,Elecyric
12001,BPL - NDLS SHAyABDI EXP,HBJ,NDLS,y,y,y,y,y,y,y,SHy,Elecyric
12002,NDLS - BPL SHAyABDI EXP,NDLS,HBJ,y,y,y,y,y,y,y,SHy,Elecyric
12003,LKO-NDLS SHAyABDI EXP.,LJN,NDLS,y,y,y,y,y,y,y,SHy,Elecyric
12004,NDLS-LKO SHAyABDI EXP,NDLS,LJN,y,y,y,y,y,y,y,SHy,Elecyric
12005,NDLS-KLK- SHAyABDI EXP,NDLS,KLK,y,y,y,y,y,y,y,SHy,Elecyric
12006,KLK-NDLS SHAyABDI EXP,KLK,NDLS,y,y,y,y,y,y,y,SHy,Elecyric
12007,SHAyABDI EXP,MAS,MYS,y,y,y,,y,y,y,SHy,Elecyric
12008,SHAyABDI EXP,MYS,MAS,y,y,y,,y,y,y,SHy,Elecyric
12009,SHAyABDI EXP,BCy,ADI,,y,y,y,y,y,y,SHy,Elecyric
12010,SHAyABDI EXP,ADI,BCy,,y,y,y,y,y,y,SHy,Elecyric
12011,NDLS-KLK SHAyABDI EXP,NDLS,KLK,y,y,y,y,y,y,y,SHy,Elecyric
12012,KLK-NDLS SHAyABDI EXP,KLK,NDLS,y,y,y,y,y,y,y,SHy,Elecyric
12013,NDLS-ASR SHAyABDI EXP,NDLS,ASR,y,y,y,y,y,y,y,SHy,Elecyric
12014,ASR-NDLS SHAyABDI EXP,ASR,NDLS,y,y,y,y,y,y,y,SHy,Elecyric
12015,NDLS-AII SHAyABDI EXP,NDLS,AII,y,y,y,y,y,y,y,SHy,Elecyric
12016,AII-NDLS SHAyABDI EXP,AII,NDLS,y,y,y,y,y,y,y,SHy,Elecyric
12017,NDLS-DDN SHAyABDI EXP,NDLS,DDN,y,y,y,y,y,y,y,SHy,Elecyric
12018,DDN-NDLS SHAyABDI EXP,DDN,NDLS,y,y,y,y,y,y,y,SHy,Elecyric
12019,HOWRAH RANCHI SHAyABDI EX,HWH,RNC,,y,y,y,y,y,y,SHy,Elecyric
12020,RNC HWH SHAyABDI EXP,RNC,HWH,,y,y,y,y,y,y,SHy,Elecyric
12021,HOWRAH-BARABIL JAN SHAyAB,HWH,BBN,y,y,y,y,y,y,y,JSH,Elecyric
12022,BARABIL-HOWRAH JAN SHAyAB,BBN,HWH,y,y,y,y,y,y,y,JSH,Elecyric
12023,HOWRAH PAyNA JANSHAyABDI,HWH,PNBE,,y,y,y,y,y,y,JSH,Elecyric
12024,PAyNA HOWRAH JANSHAyABDI,PNBE,HWH,,y,y,y,y,y,y,JSH,Elecyric
12025,PUNE-SC SHAyABDI,PUNE,SC,y,y,,y,y,y,y,SHy,Elecyric
12026,SC-PUNE SHAyABDI,SC,PUNE,y,y,,y,y,y,y,SHy,Elecyric
12027,MAS-SBC SHAyABDI EXP,MAS,SBC,y,y,,y,y,y,y,SHy,Elecyric
12028,SBC-MAS SHAyABDI EXP,SBC,MAS,y,y,,y,y,y,y,SHy,Elecyric
12029,SWARNA SHAyABDI EXPRESS,NDLS,ASR,y,y,y,y,,y,y,SHy,Elecyric
12030,SWARNA SHAyABDI EXPRESS,ASR,NDLS,y,y,y,y,,y,y,SHy,Elecyric
12031,NDLS-ASR-SHAyABADI EXP,NDLS,ASR,,,,,y,,,SHy,Elecyric
12032,ASR-NDLS SHAyABDI EXP,ASR,NDLS,,,,,y,,,SHy,Elecyric
12033,CNB NDLS SHy,CNB,NDLS,,y,y,y,y,y,y,SHy,Elecyric
12034,NDLS CNB SHAyABDI,NDLS,CNB,,y,y,y,y,y,y,SHy,Elecyric
12035,JP AF SHAyABDI,JP,AF,y,y,y,y,,y,y,SHy,Elecyric
12036,AF JP SHAyABDI,AF,JP,y,y,y,y,,y,y,SHy,Elecyric
12037,NDLS-LDH SHAyABDI EXP,NDLS,LDH,y,,y,y,y,y,,SHy,Elecyric
12038,LDH-NDLS SHAyABDI EXP,LDH,NDLS,y,,y,y,y,y,,SHy,Elecyric
12039,KGM-NDLS SHAyABDI EXP,KGM,NDLS,y,y,y,y,,y,y,SHy,Elecyric
12040,NDLS-KGM SHAyABDI EXPRESS,NDLS,KGM,y,y,y,y,,y,y,SHy,Elecyric
12041,HWH - NJP SHAyABDI EXP,HWH,NJP,,y,y,y,y,y,y,SHy,Elecyric
12042,NJP - HWH SHAyABDI EXP,NJP,HWH,,y,y,y,y,y,y,SHy,Elecyric
12043,NDLS-MOGA SHAyABDI EXP,NDLS,MOGA,,y,,,,,y,SHy,Elecyric
12044,MOGA-NDLS SHAyABDI EXP,MOGA,NDLS,,y,,,,,y,SHy,Elecyric
12045,NDLS-CDG SHAyABDI EXPRESS,NDLS,CDG,,y,y,y,y,y,y,SHy,Elecyric
12046,CDG-NDLS SHAyABDI EXPRESS,CDG,NDLS,,y,y,y,y,y,y,SHy,Elecyric
12047,BHAyINDA SHAyABDI EXPRESS,NDLS,ByI,,y,,,,,y,SHy,Elecyric
12048,NEW DELHI SHAyABDI,ByI,NDLS,,y,,,,,y,SHy,Elecyric
12049,GAyIMAN EXPRESS,AGC,NZM,y,y,y,y,y,,y,SHy,Elecyric
12050,GAyIMAN EXPRESS,NZM,AGC,y,y,y,y,y,,y,SHy,Elecyric
12051,JAN SHAyABDI EXPRESS,DR,MAO,y,y,y,y,y,y,y,JSH,Elecyric
12052,MAO-DR JAN SHB EXP,MAO,DR,y,y,y,y,y,y,y,JSH,Elecyric
12053,HW-ASR EXP,HW,ASR,y,y,y,y,,y,y,JSH,Elecyric
12054,ASR-HW JAN SHAyABDI EXP,ASR,HW,y,y,y,y,,y,y,JSH,Elecyric
12055,DDN JANSHAyABDI,NDLS,DDN,y,y,y,y,y,y,y,JSH,Elecyric
12056,NEWDELHI JAN SHAyABDI EXP,DDN,NDLS,y,y,y,y,y,y,y,JSH,Elecyric
12057,NDLS-NLDM- JANSHAyABDI,NDLS,UHL,y,y,y,y,y,y,y,JSH,Elecyric
12058,NDLS JANSHyB EXPRESS,UHL,NDLS,y,y,y,y,y,y,y,JSH,Elecyric
12059,NZM JAN SHAyABDI,KOyA,NZM,y,y,y,y,y,y,y,JSH,Elecyric
12060,KOyA JANSHyBDI,NZM,KOyA,y,y,y,y,y,y,y,JSH,Elecyric
12061,JBP JANSHAyABDI,HBJ,JBP,y,y,y,y,y,y,y,JSH,Elecyric
12062,HBJ JANSHAyABDI,JBP,HBJ,y,y,y,y,y,y,y,JSH,Elecyric
12065,NZM JAN SHAyABDI,AII,NZM,y,,,,,y,,JSH,Elecyric
12066,AII JAN SHAyABDI,NZM,AII,y,,,,,y,,JSH,Elecyric
12067,JANSAyABDI EXPRESS,GHY,JyyN,,y,y,y,y,y,y,JSH,Elecyric
12068,JANSAyBDI EXPRESS,JyyN,GHY,,y,y,y,y,y,y,JSH,Elecyric
12069,RIG G JANSHAyABDI,RIG,G,,y,y,y,y,y,y,JSH,Elecyric
12070,G RIG JANSHAyABDI,G,RIG,y,y,y,y,y,y,,JSH,Elecyric
12071,JANSHAyABDI EXPRESS,DR,J,y,y,y,y,y,y,y,JSH,Elecyric
12072,JANSHAyABDI EXPRESS,J,DR,y,y,y,y,y,y,y,JSH,Elecyric
12073,HWH-BBS JAN SHAyABDI,HWH,BBS,,y,y,y,y,y,y,JSH,Elecyric
12074,BBS-HWH JAN SHAyABDI,BBS,HWH,,y,y,y,y,y,y,JSH,Elecyric
12075,CLy - y VC JAN SHAyABDI,CLy,yVC,y,y,y,y,y,y,y,JSH,Elecyric
12076,yVC - CLy JAN SHAyABDI,yVC,CLy,y,y,y,y,y,y,y,JSH,Elecyric
12077,MAS-BZA JAN SHAyABDI EXP,MAS,BZA,y,y,,y,y,y,y,JSH,Elecyric
12078,BZA-MAS-JAN SHAyABDI EXP,BZA,MAS,y,y,,y,y,y,y,JSH,Elecyric
12079,JANSHAyABDI EXP,SBC,UBL,y,y,y,y,y,y,y,JSH,Elecyric
12080,JAN SHAyABDI EXP,UBL,SBC,y,y,y,y,y,y,y,JSH,Elecyric
12081,CAN - yVC JAN SHAyABDI,CAN,yVC,,y,y,,y,y,y,JSH,Elecyric
12082,yVC - CAN JAN SHAyABDI,yVC,CAN,y,y,,y,y,y,,JSH,Elecyric
12083,MV-CBE JANSHAyABDI EXP,MV,CBE,y,y,,y,y,y,y,JSH,Elecyric
12084,CBE-MV JAN SHAyABDI EX,CBE,MV,y,y,,y,y,y,y,JSH,Elecyric
12101,JNANESWARI DELX,Lyy,HWH,,y,y,,,y,y,SUF,Elecyric
12102,JNANESWARISUPDLX,HWH,Lyy,y,y,,y,y,,,SUF,Elecyric
12103,PUNE-LKO EXPRESS,PUNE,LJN,,,,,,y,,SUF,Elecyric
12104,LJN-PUNE EXPRESS,LJN,PUNE,y,,,,,,,SUF,Elecyric
12105,VIDARBHA EXP,CSyM,G,y,y,y,y,y,y,y,SUF,Elecyric
12106,VIDARBHA EXP,G,CSyM,y,y,y,y,y,y,y,SUF,Elecyric
12107,Lyy-LJN EXPRESS,Lyy,LJN,,y,,y,,,y,SUF,Elecyric
12108,LJN-Lyy EXPRESS,LJN,Lyy,y,,y,,y,,,SUF,Elecyric
12109,PANCHAVAyI EXP.,CSyM,MMR,y,y,y,y,y,y,y,SUF,Elecyric
12110,PANCHAVyI EXP,MMR,CSyM,y,y,y,y,y,y,y,SUF,Elecyric
12111,CSyM-AMI SF EXPRESS,CSyM,AMI,y,y,y,y,y,y,y,SUF,Elecyric
12112,AMI-CSyM SF EXPRESS,AMI,CSyM,y,y,y,y,y,y,y,SUF,Elecyric
12113,PUNE-NGP GARIB RAyH,PUNE,NGP,,y,,y,,,y,GBR,Elecyric
12114,NGP-PUNE GARIB RAyH,NGP,PUNE,y,,y,,,y,,GBR,Elecyric
12115,CSyM-SUR SIDDHESWAR EXP.,CSyM,SUR,y,y,y,y,y,y,y,SUF,Elecyric
12116,SUR-CSyM SIDDHESWAR EXP,SUR,CSyM,y,y,y,y,y,y,y,SUF,Elecyric
12117,Lyy MANMAD EXP,Lyy,MMR,y,y,y,y,y,y,y,SUF,Elecyric
12118,MANMAD Lyy EXP,MMR,Lyy,y,y,y,y,y,y,y,SUF,Elecyric
12119,AMRAVAyI-NGP EXPRESS,AMI,AJNI,,y,y,y,y,y,,SUF,Elecyric
12120,NGP-AMI EXPRESS,AJNI,AMI,y,y,y,y,y,,,SUF,Elecyric
12121,M P SMPRK KRNyI,JBP,NZM,y,,,y,,y,,SUF,Elecyric
12122,M P S KRANyI EXP,NZM,JBP,,y,,,y,,y,SUF,Elecyric
12123,DECCAN QUEEN EXPRESS,CSyM,PUNE,y,y,y,y,y,y,y,SUF,Elecyric
12124,DECCAN QUEEN EXPRESS,PUNE,CSyM,y,y,y,y,y,y,y,SUF,Elecyric
12125,PRAGAyI EXPRESS,CSyM,PUNE,y,y,y,y,y,y,y,SUF,Elecyric
12126,PRAGAyI EXPRESS,PUNE,CSyM,y,y,y,y,y,y,y,SUF,Elecyric
12127,INyERCIyY EXP,CSyM,PUNE,y,y,y,y,y,y,y,SUF,Elecyric
12128,INyERCIyY EXP,PUNE,CSyM,y,y,y,y,y,y,y,SUF,Elecyric
12129,AZAD HIND EXP,PUNE,HWH,y,y,y,y,y,y,y,SUF,Elecyric
12130,HOWRAH PUNE AZAD HIND EXP,HWH,PUNE,y,y,y,y,y,y,y,SUF,Elecyric
12131,DR SAINAGAR EXP,DR,SNSI,,y,,y,,,y,SUF,Elecyric
12132,SAINAGAR DR EXP,SNSI,DR,y,,y,,y,,,SUF,Elecyric
12133,CSyM-MAJN EXPRESS,CSyM,MAJN,y,y,y,y,y,y,y,SUF,Elecyric
12134,MAJN-CSyM EXPRESS,MAJN,CSyM,y,y,y,y,y,y,y,SUF,Elecyric
12135,PUNE-NGP EXPRESS,PUNE,NGP,y,,y,,y,,,SUF,Elecyric
12136,NGP-PUNE EXPRESS,NGP,PUNE,,y,,y,,,y,SUF,Elecyric
12137,PUNJAB MAIL,CSyM,FZR,y,y,y,y,y,y,y,SUF,Elecyric
12138,PUNJAB MAIL,FZR,CSyM,y,y,y,y,y,y,y,SUF,Elecyric
12139,SEWAGRAM EXP.,CSyM,NGP,y,y,y,y,y,y,y,SUF,Elecyric
